Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
rice-syrup-570g,Rice Syrup (570g),"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,4.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/39.jpg?v=1652343819,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
cornichons-330g,Cornichons (330g),"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,3.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/40.jpg?v=1652343668,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
tomato-sauce-230g,Tomato Sauce (230g),"Chopped tomatoes* (69.6%), tofu* (contains soya) (8%), onions*, red peppers*, lemon juice*, extra virgin olive oil*, parsley*, garlic*, grape juice*, sea salt, oregano*.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,7.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/38.jpg?v=1652343571,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
hot-green-chilies-3-75-oz,"Hot Green Chilies, 3.75 oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,2.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p39.jpg?v=1652343262,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
salmon-fillets-1-90-2-30lb,"Salmon Fillets, 1.90 - 2.30lb",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,21.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p38.jpg?v=1652343012,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
beef-tray-2-25-lb,"Beef Tray, 2.25 lb",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,9.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p37.jpg?v=1652342870,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
tip-roast-1-52-2-73-lb,"Tip Roast, 1.52 - 2.73 lb",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,,0.0,shopify,100,deny,manual,6.90,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p36.jpg?v=1652342791,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
sirloin-philly-steak,Sirloin Philly Steak,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,6.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p35.jpg?v=1652342731,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
beef-short-1-1-2-1-lb,Beef Short 1.1 - 2.1 lb,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p34.jpg?v=1652342597,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
flavors-4oz-bag,"Flavors, 4oz Bag",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,,Grocery,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,9.30,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p33.jpg?v=1652342268,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
chewy-candy-8-04-oz,"Chewy Candy, 8.04 oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,,Grocery,organic,true,Title,Default Title,,,,,,0.0,shopify,100,deny,manual,4.30,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p32.jpg?v=1652342178,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
bears-candy-52-oz,"Bears Candy, 52 oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,,Grocery,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,4.30,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p31.jpg?v=1652342076,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
graham-crackers-14-4-oz,"Graham Crackers, 14.4 oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,,Grocery,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,3.30,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p30.jpg?v=1652342023,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
honey-granola-11-oz,"Honey Granola, 11 Oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,,Grocery,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,2.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p29.jpg?v=1652341450,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
kale-superfood,Kale Superfood,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,Health & Beauty,,organic,true,Title,Default Title,,,,,,0.0,shopify,100,deny,manual,12.00,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p28.jpg?v=1652341110,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vanilla-matcha,Vanilla Matcha,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,Health & Beauty,,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,12.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p27.jpg?v=1652341034,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
protein-isolate,Protein Isolate,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,Health & Beauty,,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,8.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p26.jpg?v=1652340884,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
organic-spirulina-powder,Organic Spirulina Powder,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Seafood",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,9.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p25.jpg?v=1652340817,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
freddie-plant-collagen,Freddie Plant Collagen,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Freshio,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars",,"cake, organic",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,9.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p24.jpg?v=1652340644,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
bread-boule-7-oz,"Bread Boule, 7 oz",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Happy Egg Co,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars",,"cake, organic",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,1.50,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p23.jpg?v=1652335850,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
lemon-pie-4,"Lemon Pie, 4",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,Happy Egg Co,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars",,"cake, organic",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,1.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p22.jpg?v=1652335732,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
eggs-12-count,"Eggs, 12 Count","Safe Handling Instructions: To prevent illness from bacteria. Keep eggs refrigerated, cook eggs until yolks are firm, and cook foods containing eggs thoroughly. Keep refrigerated at 45 degrees or below.",Happy Egg Co,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,4.90,6.00,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p21.jpg?v=1652335314,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
usa-made-32-oz-jar,USA Made 32 Oz Jar,"Safe Handling Instructions: To prevent illness from bacteria. Keep eggs refrigerated, cook eggs until yolks are firm, and cook foods containing eggs thoroughly. Keep refrigerated at 45 degrees or below.",Happy Egg Co,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p20.jpg?v=1652335239,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
pickled-eggs-32-oz,Pickled Eggs 32 Oz,"Safe Handling Instructions: To prevent illness from bacteria. Keep eggs refrigerated, cook eggs until yolks are firm, and cook foods containing eggs thoroughly. Keep refrigerated at 45 degrees or below.",Happy Egg Co,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,21.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p19.jpg?v=1652335153,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
brown-eggs-large-18-ct,"Brown Eggs, Large, 18 Ct","Safe Handling Instructions: To prevent illness from bacteria. Keep eggs refrigerated, cook eggs until yolks are firm, and cook foods containing eggs thoroughly. Keep refrigerated at 45 degrees or below.",Happy Egg Co,"Food, Beverages & Tobacco > Beverages > Juice",,organic,true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,7.30,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p18.jpg?v=1652335029,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
tea-drink-mix-66-1-oz,"Tea Drink Mix, 66.1 oz","Completely instant... just add water and ice! Measure 4C iced tea mix into a container and add water using the measures on the chart below. Stir and pour into ice filled glasses. Preparation: 12 fl. oz. of water per 25g of iced tea mix. To make 1 Serving - use 12 fl. oz. of water - use approx.. 2 Tbsp. iced tea mix. To make 1 Qt. - use 32 fl. oz. of water - use approx. 1/3 cup iced tea mix To make 2 Qts. - use 64 fl. oz. of water - use approx. 2/3 cup iced tea mix. To make 1 Gallon - use 128 fl. oz. of water - use approx. 1 1/3 cups iced tea mix. Vary usage to satisfy your taste. Hot Preparation: Add hot water, stir and serve.
<div class=""ddict_btn"" style=""top: -1px; left: 82.9375px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",GreatValue,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,5.18,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p17.jpg?v=1652332778,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
juice-apple,"Juice Apple, 4.23 oz","Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time.",Juicy Juice,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,7.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p16.jpg?v=1652332517,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
pure-orange,Pure Orange,"Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time.",GreatValue,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,2.50,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p14.jpg?v=1652332414,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
pure-orange,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p15.jpg?v=1652332414,2,,,,,,,,,,,,,,,,,,,,,,,,
berry-blue-typhoon,Berry Blue Typhoon,Hawaiian Punch is inspired by Hawaiian ingredients and bursting with bold fruit juice flavors,Biona,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,3.50,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p12.jpg?v=1652332200,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
hawaiian-punch,Hawaiian Punch,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Biona,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,3.50,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p13.jpg?v=1652332128,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
tropicana-pure,Tropicana Pure,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Biona,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,3.50,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p6.jpg?v=1652331814,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
tropicana-pure,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p7.jpg?v=1652331935,2,,,,,,,,,,,,,,,,,,,,,,,,
tropicana-pure,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p8.jpg?v=1652331935,3,,,,,,,,,,,,,,,,,,,,,,,,
tropicana-pure,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p9.jpg?v=1652331935,4,,,,,,,,,,,,,,,,,,,,,,,,
tropicana-pure,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p10.jpg?v=1652331935,5,,,,,,,,,,,,,,,,,,,,,,,,
tropicana-pure,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p11.jpg?v=1652331935,6,,,,,,,,,,,,,,,,,,,,,,,,
kiwi-to-apples,Kiwi to Apples,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Biona,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/14.jpg?v=1652330720,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
synthetic-smoothies,Synthetic smoothies,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Biona,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,19.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/12.jpg?v=1652330578,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
orange-juice,Orange Juice,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Freshio,"Food, Beverages & Tobacco > Beverages > Juice",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,19.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/13.jpg?v=1652330494,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
carrot-juice,Carrot Juice,"<span data-mce-fragment=""1"">Et nemo eum laborum in voluptates ex. Temporibus cumque ea qui assumenda ut vero cumque praesentium. Voluptas expedita fuga accusamus provident.</span>
<div id=""gtx-trans"" style=""position: absolute; left: 450px; top: 47px;"">
<div class=""gtx-trans-icon""></div>
</div>
<div class=""ddict_btn"" style=""top: 39px; left: 424.297px;""><img src=""chrome-extension://bpggmmljdiliancllaapiggllnkbjocb/logo/48.png""></div>",Freshio,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables",,"fruit, juice, organic, vegetables",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/11.jpg?v=1652330382,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
